epoch,bpb
1,1.4467665560727339
2,1.2770837493989593
3,1.1676592088643447
4,1.1106987600890783
5,1.07026206086196
6,1.0428166651838695
7,1.0251498492074724
8,1.014546249417642
9,0.9982577778281694
10,0.9860733175966666
11,0.9761565412923768
12,0.9648822332392412
13,0.956395627190831
14,0.9462455230411949
15,0.9436375464810474
16,0.9355324811769536
17,0.9309025585418501
18,0.9317128113432286
19,0.9276829921540108
20,0.9250426672853997
21,0.9233837744518044
22,0.9230669710410669
23,0.9231597064302985
24,0.9212898049055567
25,0.921739198878815
26,0.923342284183493
27,0.923062031468294
28,0.9237934204008573
29,0.9235403814100159
30,0.9226405605463296
