step,train,validation
100,7.031966320673624,7.113415288925171
200,6.095009311040243,6.319339164098104
300,5.472640705108643,5.787064186731974
400,5.140709686279297,5.484125153223673
500,4.894742012023926,5.281367937723796
600,4.612754678726196,5.1618807474772135
700,4.510924037297567,5.057731978098551
800,4.396586767832438,5.01987091700236
900,4.250134913126628,4.8781825542449955
