step,delta
100,0.004152727127075373
200,0.007125425338745828
300,0.008303419748941998
400,0.007628011703491033
500,0.005923382441203273
600,0.00522532463073766
700,0.0026864528655998754
800,0.0037780284881598902
900,0.003470579783122041
