epoch,bpb
1,1.483257297412728
2,1.2624580333675606
3,1.1596275481832357
4,1.1095600428421495
5,1.0780180033771056
6,1.0571746419058456
7,1.0396073636782786
8,1.022151381740021
9,1.003409003258303
10,0.9916682414904978
11,0.9759192783969202
12,0.9586573493430095
13,0.9554582784319601
14,0.9468839456782507
15,0.9356309029680737
16,0.9317711968791071
17,0.926462536764088
18,0.9268760706176542
19,0.9206314670040009
20,0.9200142647072883
21,0.9162244830390578
22,0.9141750596529975
23,0.9128487286459254
24,0.915447573425388
25,0.913759338350881
26,0.9142164625948055
27,0.9146624636923185
28,0.914773515145971
29,0.9144045804913888
30,0.9137192222695721
