epoch,bpb
1,1.4820656110161172
2,1.2487782562370984
3,1.1729306622635585
4,1.131737605420702
5,1.1041396013203426
6,1.0823074222955789
7,1.058771369519624
8,1.0369722189321342
9,1.0115559381384656
10,0.9924249395724505
11,0.9758688974333626
12,0.96510432168142
13,0.9554609309075348
14,0.9457789110137539
15,0.9374169453337036
16,0.9298177324624709
17,0.9245081297033849
18,0.9181333812050534
19,0.9176143730076574
20,0.9144238619690569
21,0.9138879976135094
22,0.9118291536799827
23,0.9123661739062741
24,0.9124279488355527
25,0.9112582087143296
26,0.910970674147381
27,0.9101183160419489
28,0.9113662340099767
29,0.911146602764167
30,0.9130745804318074
