step,train,primary,familiar,common256,training_seconds,targets_per_second
100,8.304468846321106,9.878895270170142,6.957358334667424,9.876647034232928,41.155669583939016,9952.456226343265
200,6.378391423225403,10.156408572644825,6.040469027410569,10.155950840717356,44.433872709050775,9218.192676610162
300,5.54808931350708,10.586632874285819,5.496235965859434,10.579228928526357,44.174015291035175,9272.419482390264
400,5.060718955993653,10.640337896122384,5.187315549884432,10.619065215229762,47.263725333148614,8666.265663843584
500,4.7621423578262325,11.033058788787631,4.989324980426666,11.022988223288449,54.45370754180476,7521.98552661534
600,4.489882218837738,10.966597221359107,4.822459474223662,10.957105061346027,48.84387191710994,8385.903572409412
700,4.314004777669907,11.436613905322615,4.702969520179343,11.435774000623356,55.7156790420413,7351.611019421099
800,4.155848940610886,11.038999011187894,4.603338346334127,11.054351263251085,50.00250275013968,8191.58996994117
900,3.9841707348823547,11.661585599769397,4.543034549124516,11.663795428709921,48.463055290980265,8451.79895367086
1000,3.854680818319321,10.96009254607286,4.466094191022685,10.957137597494913,50.637655458180234,8088.842113519127
1100,3.735910986661911,11.294839414236982,4.394183316597088,11.301596909442306,47.34972949977964,8650.52460335399
1200,3.621185401678085,11.769716697085526,4.350001770317447,11.759648686077373,50.0931635000743,8176.7644800351345
1300,3.5263006711006164,11.672227639270254,4.304231420491554,11.657718130229686,46.42428620904684,8822.968179964822
1400,3.439808051586151,11.279036705317262,4.247586313335495,11.276900583152955,52.46053387504071,7807.7741445722595
1500,3.3348549473285676,12.004334717319724,4.236962052166585,11.954920045327128,55.33015316701494,7402.835100846656
