step,train,primary,familiar,common256,training_seconds,targets_per_second
100,8.311690487861632,9.898599344185966,6.95710298596835,9.898599344185966,38.057757457951084,10762.58895318662
200,6.351234753131866,10.24367639480588,5.998335472171683,10.24367639480588,37.99040187499486,10781.67062690635
300,5.53815319776535,10.794851858044154,5.465729628015616,10.794851858044154,38.8402253750246,10545.76784879793
400,5.050653626918793,10.622024705125092,5.154612816007569,10.622024705125092,39.302570374915376,10421.710236575893
500,4.720205757617951,10.641877820994655,4.955322093853749,10.641877820994655,37.54438012512401,10909.755298527441
600,4.473719770908356,11.292737844925005,4.81896654342652,11.292737844925005,37.46261145803146,10933.567737499183
700,4.2860813808441165,11.2323668712809,4.682499862368286,11.2323668712809,37.50791508401744,10920.361717853397
800,4.116134700775146,11.270021667461796,4.581365566623541,11.270021667461796,37.5086026659701,10920.161533279723
900,3.9538411700725558,11.761109287280869,4.493371546066644,11.761109287280869,41.915976041927934,9771.930387360731
1000,3.838309051990509,11.461009593413465,4.423633212941727,11.461009593413465,42.224885375006124,9700.44077946631
1100,3.723820264339447,11.423768714410413,4.376813093856154,11.423768714410413,39.83695191703737,10281.911147544983
1200,3.6151683628559113,11.410725528035703,4.315855572843377,11.410725528035703,37.05285699991509,11054.478201260934
1300,3.506158709526062,11.559950782277772,4.2738047630364076,11.559950782277772,39.23554500006139,10439.513456468085
1400,3.4163371407985688,11.788562760886732,4.259419028192128,11.788562760886732,38.387933999998495,10670.019386821288
1500,3.3391836953163145,11.592823929778804,4.224035379896168,11.592823929778804,42.16599500016309,9713.988724763063
1600,3.2403080546855927,11.807704309088754,4.187293310875387,11.807704309088754,37.395474875112996,10953.1969140093
1700,3.1663789093494414,11.440089940193241,4.176165937082596,11.440089940193241,38.745926541043445,10571.433865857149
1800,3.128256366252899,12.022493458710342,4.15754524647972,12.022493458710342,38.9402983749751,10518.666191403108
1900,3.046211231946945,11.598461093936432,4.141073725551798,11.598461093936432,39.368393040960655,10404.285477790107
2000,2.977251489162445,11.878284492859137,4.139781458229698,11.878284492859137,39.46448599989526,10378.951850559693
2100,2.9260736334323885,11.694573071947852,4.112983822712488,11.694573071947852,38.04988179192878,10764.816622554796
2200,2.9173227989673616,11.777793385236608,4.119940649597643,11.777793385236608,37.503901625052094,10921.53035422834
2300,2.8637747073173525,11.777855215870327,4.104830254791731,11.777855215870327,39.24477095808834,10437.059256567823
2400,2.8175505709648134,11.93466721883509,4.105666641215893,11.93466721883509,37.3669018750079,10961.572392865482
2500,2.8049215972423553,12.011547524408385,4.1017287906737145,12.011547524408385,36.80601366702467,11128.61620129674
2600,2.768086473941803,12.063197854084127,4.1077865775712095,12.063197854084127,36.725589875131845,11152.98627993867
2700,2.736368787288666,12.313912693292808,4.1045454312197,12.313912693292808,36.90427950001322,11098.983791293183
2800,2.727125816345215,12.091709857981055,4.100340170415975,12.091709857981055,36.707327583106235,11158.535011099792
2900,2.694185963869095,12.042265338777497,4.10239511282451,12.042265338777497,36.61376237496734,11187.050262827992
3000,2.6887276327610015,11.965065452931874,4.091311567539768,11.965065452931874,36.70198050001636,11160.16068941613
